"app_in_both_stores","apple_rating","android_rating","apple_price","android_price","apple_genre","android_genre","apple_content_rating","play_content_rating","weighted_rev_count","lifespan_mos","gross","ad_cost","apple_purchase_cost","android_purchase_cost","profit"
"T-Mobile",4.0,4.3,0.00,0,"Productivity","Tools","4+","Everyone",464241,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Best Buy",4.0,4.4,0.00,0,"Shopping","Shopping","4+","Everyone",154225,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Firefox Focus: The privacy browser",4.0,4.4,0.00,0,"Utilities","Communication","17+","Everyone",36428,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"WEB.DE Mail",4.0,4.3,0.00,0,"Productivity","Communication","4+","Everyone",226373,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Tiny Archers",4.0,4.5,0.00,0,"Games","Action","12+","Mature 17+",80117,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Crazy Freekick",4.5,3.9,0.00,0,"Games","Sports","4+","Everyone",47462,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Firefox Focus: The privacy browser",4.0,4.4,0.00,0,"Utilities","Communication","17+","Everyone",36415,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"Angry Birds Space HD",4.0,4.5,0.00,0,"Games","Arcade","4+","Everyone",41676,228,"$570,000.00","$120,000.00","$10,000.00","$10,000.00","$430,000.00"
"sugar, sugar",4.5,4.2,0.99,1.20,"Games","Puzzle","4+","Everyone",1291,228,"$570,000.00","$120,000.00","$10,000.00","$12,000.00","$428,000.00"
"Riptide GP: Renegade",4.5,4.7,2.99,2.99,"Games","Racing","9+","Everyone 10+",3987,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"The Game of Life",4.5,4.4,2.99,2.99,"Games","Board","4+","Everyone",16827,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Bloons TD 5",4.5,4.6,2.99,2.99,"Games","Strategy","9+","Everyone",163260,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Threema",4.5,4.5,2.99,2.99,"Social Networking","Communication","4+","Everyone",50915,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Alizay, pirate girl",4.5,4.5,2.99,2.99,"Book","Casual;Action & Adventure","4+","Everyone",184,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Tsuro - The Game of the Path",4.5,4.7,2.99,2.99,"Games","Board;Brain Games","4+","Everyone",1868,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Five Nights at Freddy's 3",4.5,4.7,2.99,2.99,"Games","Action","12+","Teen",23149,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Five Nights at Freddy's",4.5,4.6,2.99,2.99,"Games","Action","12+","Teen",85119,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Five Nights at Freddy's 2",4.5,4.6,2.99,2.99,"Games","Strategy","12+","Teen",62937,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"The Game of Life",4.5,4.4,2.99,2.99,"Games","Board","4+","Everyone",16858,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Pocket Yoga",4.5,4.4,2.99,2.99,"Health & Fitness","Health & Fitness","4+","Everyone",3716,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Pocket Yoga",4.5,4.4,2.99,2.99,"Health & Fitness","Health & Fitness","4+","Everyone",3716,240,"$600,000.00","$120,000.00","$29,900.00","$29,900.00","$420,200.00"
"Hitman GO",4.5,4.6,4.99,0.99,"Games","Puzzle","9+","Everyone 10+",77062,240,"$600,000.00","$120,000.00","$49,900.00","$10,000.00","$420,100.00"
"Can Knockdown 3",4.5,4.1,1.99,0,"Games","Arcade","4+","Everyone",348375,228,"$570,000.00","$120,000.00","$19,900.00","$10,000.00","$420,100.00"
"Fitbit",4.0,3.9,0.00,0,"Health & Fitness","Health & Fitness","4+","Everyone",303488,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"MARVEL Avengers Academy",4.0,4.2,0.00,0,"Games","Adventure","9+","Teen",288608,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Get 'Em",4.0,4.1,0.99,0,"Games","Action","9+","Everyone 10+",7864,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"diep.io",4.0,4.1,0.00,0,"Games","Action","9+","Everyone",338980,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"WatchESPN",4.0,4.1,0.00,0,"Sports","Sports","4+","Everyone",242843,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Infinite Painter",4.0,4.1,0.00,0,"Productivity","Art & Design","4+","Everyone",36750,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"King of Avalon: Dragon Warfare",4.0,4.2,0.00,0,"Games","Strategy","9+","Everyone 10+",303397,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Does not Commute",4.0,4.0,0.00,0,"Games","Racing","4+","Everyone",148861,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"My Little Pony: Harmony Quest",4.0,4.1,0.00,0,"Entertainment","Casual;Action & Adventure","4+","Everyone",146208,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Google Slides",4.0,4.2,0.00,0,"Productivity","Productivity","4+","Everyone",235420,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"WatchESPN",4.0,4.1,0.00,0,"Sports","Sports","4+","Everyone",242843,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
"Google Classroom",4.0,4.2,0.00,0,"Education","Education","4+","Everyone",64492,216,"$540,000.00","$108,000.00","$10,000.00","$10,000.00","$412,000.00"
